"No.","Time","Source","Destination","Protocol","Length","Info"
"9507","86.399313","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9508","86.406785","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9509","86.407164","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9510","86.407164","85.236.96.230","192.168.0.217","UDP","70","54004  >  52851 Len=28"
"9511","86.407164","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9512","86.407295","192.168.0.217","85.236.96.230","UDP","70","52851  >  54004 Len=28"
"9513","86.414815","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9514","86.422191","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9515","86.423426","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9516","86.429776","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9517","86.437670","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9518","86.439949","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9519","86.445478","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9520","86.447378","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9521","86.454729","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9522","86.461791","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9523","86.467109","85.236.96.230","192.168.0.217","UDP","74","54004  >  52851 Len=32"
"9524","86.469598","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9525","86.477949","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9526","86.487231","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9527","86.492353","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9528","86.501086","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9529","86.510141","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9530","86.517024","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9531","86.525331","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9532","86.531940","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9533","86.542406","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9534","86.548960","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9535","86.554681","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9536","86.565809","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9537","86.571860","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9538","86.579805","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9539","86.587768","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9540","86.588198","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9541","86.595972","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9542","86.602005","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9543","86.611044","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9544","86.619325","192.207.0.1","192.168.0.217","IDN","118","Unknown (0x9c)"
"9545","86.620028","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9546","86.626244","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
